"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021",,,,,,,,,,,,,,,,,,,,,,
Збір урожаю сої,33,Harvesting of soya beans,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва сої,34,Dynamics of soya beans production,,,,,,,,,,,,,,,,,,,,
Збір урожаю ріпаку озимого та кользи (ріпаку ярого),35,Harvesting of winter rapeseed and colza (spring rapeseed),,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва ріпаку озимого та кользи (ріпаку ярого),36,Dynamics of winter rapeseed and colza (spring rapeseed) production,,,,,,,,,,,,,,,,,,,,
Збір урожаю ріпаку озимого,37,Harvesting of winter rapeseed,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва ріпаку озимого,38,Dynamics of winter rapeseed production,,,,,,,,,,,,,,,,,,,,
Збір урожаю кользи (ріпаку ярого),39,Harvesting of colza (spring rapeseed),,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва кользи (ріпаку ярого),40,Dynamics of colza (spring rapeseed) production,,,,,,,,,,,,,,,,,,,,
Збір урожаю соняшнику,41,Harvesting of sunflower seeds,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва соняшнику,42,Dynamics of sunflower seeds production,,,,,,,,,,,,,,,,,,,,
Збір урожаю буряку цукрового фабричного,43,Harvesting of sugar beet (for processing),,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва буряку цукрового фабричного,44,Dynamics of sugar beet (for processing) production,,,,,,,,,,,,,,,,,,,,
Збір урожаю картоплі,45,Harvesting of potatoes,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва картоплі ,46,Dynamics of potatoes production,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва культур овочевих,47,Dynamics of vegetables production,,,,,,,,,,,,,,,,,,,,
Збір урожаю культур овочевих відкритого ґрунту,48,Harvesting of vegetables grown in the open,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва культур овочевих відкритого ґрунту,49,Dynamics of vegetables grown in the open production,,,,,,,,,,,,,,,,,,,,
Збір урожаю кукурудзи кормової,50,Harvesting of fodder roots,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва кукурудзи кормової,51,Dynamics of fodder root production,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва культур плодових та ягідних,52,Dynamics of fruits and berries production,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва винограду,53,Dynamics of production volume of grapes,,,,,,,,,,,,,,,,,,,,
